# Swiss postal-code centres. Source: MeteoSwiss. Generated 2026-08-20.
# from ogd-local-forecasting_meta_point.csv sha256=bd8944b818d6ead2ecbe2050ea49da0e2c4d0b6ae8a13444a17cfa886d86dd5b
# canton from swisstopo ortschaftenverzeichnis_plz sha256=a4c05b1124d4f744804488eebb1adbf0c86474698b9108a18105201014a5ee16
point_id;plz;name;lat;lon;alt;canton
835500;8355;Aadorf;47.4905;8.9024;530;TG
500000;5000;Aarau;47.3911;8.0483;384;AG
500400;5004;Aarau;47.4008;8.0607;363;AG
503200;5032;Aarau Rohr;47.4007;8.0784;376;AG
327000;3270;Aarberg;47.0452;7.2761;450;BE
466300;4663;Aarburg;47.3240;7.9030;412;AG
491200;4912;Aarwangen;47.2392;7.7723;474;BE
860700;8607;Aathal-Seegräben;47.3366;8.7655;505;ZH
852202;8522;Aawangen;47.5127;8.8996;499;TG
165700;1657;Abländschen;46.5737;7.2910;1260;BE
564600;5646;Abtwil AG;47.1745;8.3547;536;AG
903000;9030;Abtwil SG;47.4230;9.3195;648;SG
372500;3725;Achseten;46.5301;7.5954;1053;BE
112300;1123;Aclens;46.5678;6.5143;455;VD
671600;6716;Acquarossa;46.4558;8.9376;540;TI
371500;3715;Adelboden;46.4921;7.5630;1307;BE
834500;8345;Adetswil;47.3390;8.8414;721;ZH
604300;6043;Adligenswil;47.0710;8.3651;532;LU
845200;8452;Adlikon b. Andelfingen;47.5832;8.6934;446;ZH
810602;8106;Adlikon b. Regensdorf;47.4514;8.4636;435;ZH
813400;8134;Adliswil;47.3125;8.5271;448;ZH
471400;4714;Aedermannsdorf;47.3048;7.6097;531;SO
342600;3426;Aefligen;47.0954;7.5566;495;BE
255800;2558;Aegerten;47.1207;7.2890;433;BE
841200;8412;Aesch (Neftenbach);47.5412;8.6797;432;ZH
414700;4147;Aesch BL;47.4746;7.5984;311;BL
628700;6287;Aesch LU;47.2569;8.2404;479;LU
890400;8904;Aesch ZH;47.3368;8.4398;548;ZH
353600;3536;Aeschau;46.9061;7.7708;817;BE
370300;3703;Aeschi b. Spiez;46.6561;7.6996;875;BE
455600;4556;Aeschi SO;47.1797;7.6623;489;SO
