# SMN automatic weather stations. Source: MeteoSwiss. Generated 2026-08-20.
# from ogd-smn_meta_stations.csv sha256=8087e755a9ec71b50313bd9be61d1159c53afb03fa34b9750fae49dcc111854b
abbr;name;lat;lon;alt
ABO;Adelboden;46.4917;7.5607;1321
AEG;Oberägeri;47.1336;8.6082;724
AIG;Aigle;46.3266;6.9245;381
ALT;Altdorf;46.8871;8.6219;438
AND;Andeer;46.6101;9.4320;987
ANT;Andermatt;46.6309;8.5806;1435
ARH;Altenrhein;47.4836;9.5669;398
ARO;Arosa;46.7927;9.6790;1878
ATT;Les Attelas;46.0991;7.2687;2734
BAN;Bantiger;46.9778;7.5287;942
BAS;Basel / Binningen;47.5411;7.5835;316
BEH;Passo del Bernina;46.4092;10.0196;2260
BER;Bern / Zollikofen;46.9907;7.4641;553
BEZ;Beznau;47.5573;8.2333;326
BIA;Biasca;46.3361;8.9782;278
BIE;Bière;46.5249;6.3424;684
BIN;Binn;46.3677;8.1923;1479
BIV;Bivio;46.4625;9.6686;1856
BIZ;Bischofszell / Sitterdorf;47.5088;9.2668;507
BLA;Blatten, Lötschental;46.4223;7.8259;1548
BOL;Boltigen;46.6235;7.3842;820
BOU;Bouveret;46.3934;6.8570;374
BRL;La Brévine;46.9838;6.6103;1050
BRZ;Brienz;46.7407;8.0609;567
BUF;Buffalora;46.6484;10.2672;1971
BUS;Buchs / Aarau;47.3844;8.0795;387
CDF;La Chaux-de-Fonds;47.0829;6.7923;1017
CDM;Col des Mosses;46.3915;7.0982;1412
CEV;Cevio;46.3205;8.6032;417
CGI;Nyon / Changins;46.4011;6.2277;458
CHA;Chasseral;47.1318;7.0544;1594
CHB;Les Charbonnières;46.6701;6.3124;1045
CHD;Château-d'Oex;46.4798;7.1397;1028
CHM;Chaumont;47.0492;6.9788;1136
CHU;Chur;46.8706;9.5308;556
CHZ;Cham;47.1883;8.4646;443
CIM;Cimetta;46.2005;8.7917;1661
CMA;Crap Masegn;46.8423;9.1800;2468
COM;Acquarossa / Comprovasco;46.4595;8.9355;575
COV;Piz Corvatsch;46.4180;9.8213;3294
COY;Courtelary;47.1808;7.0907;695
CRM;Cressier;47.0476;7.0591;430
DAV;Davos;46.8130;9.8436;1594
DEM;Delémont;47.3517;7.3496;439
DIA;Les Diablerets;46.3267;7.2038;2964
DIS;Disentis;46.7066;8.8535;1197
DOL;La Dôle;46.4248;6.0995;1670
EBK;Ebnat-Kappel;47.2734;9.1085;623
EGH;Eggishorn;46.4265;8.0927;2892
EGO;Egolzwil;47.1794;8.0048;522
EIN;Einsiedeln;47.1330;8.7566;911
ELM;Elm;46.9237;9.1753;958
ENG;Engelberg;46.8216;8.4105;1036
